path	sentence	age	gender	accents
common_voice_en_32704289.mp3	The Smallest Ship that Ever Crossed the Atlantic!	25-year-old	male	American
common_voice_en_32704291.mp3	The settlement did not prosper.	25-year-old	male	American
common_voice_en_32827836.mp3	The chambers have paved floors.	75-year-old	male	Australian
common_voice_en_32827837.mp3	The stipes are unbranched.	75-year-old	male	Australian
common_voice_en_32827838.mp3	Bellingcat confirmed that the video shows the same massacre as the earlier videos.	75-year-old	male	Australian
common_voice_en_158507.mp3	That'll close my account.	25-year-old	male	American
common_voice_en_37976443.mp3	It was speculated that the engine which powered the officers kayak was heard.	25-year-old	female	Australian
common_voice_en_31776611.mp3	The published version was dedicated to the politician Lord Berkeley.	35-year-old	male	American
common_voice_en_31776613.mp3	He started in the mechanization department of the Main Industry Group in Eindhoven.	35-year-old	male	American
common_voice_en_57542.mp3	A little boy chasing a ball through his poor city.	35-year-old	male	British
common_voice_en_57543.mp3	A man wearing a black shirt is playing a guitar.	35-year-old	male	British
common_voice_en_35011969.mp3	Roy Memorial Hospital for Children.	25-year-old	male	American
common_voice_en_35011971.mp3	The Operator and Owner is the Exelon Corporation.	25-year-old	male	American
common_voice_en_209912.mp3	How sharper than the serpent's tooth it is to have a thankless child	25-year-old	male	American
common_voice_en_32117455.mp3	Which they sell very easily.	35-year-old	female	British
common_voice_en_32117456.mp3	It is notable for being the only deterministic global optimisation software that supports supercomputing.	35-year-old	female	British
common_voice_en_32117457.mp3	The steam engine in the pumphouse was made by Smulders.	35-year-old	female	British
common_voice_en_38566030.mp3	In Ireland, the four universities all have a chancellor as their figurehead leader.	55-year-old	male	American
common_voice_en_37948155.mp3	Psychoacoustics is a division of acoustics that studies this field.	55-year-old	male	Irish
common_voice_en_25216966.mp3	South Korea plans national digital currency using a Blockchain.	35-year-old	male	American
common_voice_en_39820939.mp3	Many different routes have been travelled through the years.	25-year-old	male	American
common_voice_en_25086417.mp3	Briones Regional Park borders the Alhambra Valley to the south.	25-year-old	male	American
common_voice_en_37870005.mp3	For this victory, Foch was granted the title Marshal of France.	35-year-old	male	American
common_voice_en_23815831.mp3	Leave to apply for mandamus is hereby refused.	15-year-old	male	American
common_voice_en_19082846.mp3	Carl and Karin Larsson declared themselves overwhelmed by such success.	25-year-old	male	American
common_voice_en_31350444.mp3	Grace Green Roosevelt was born in San Francisco to Brig.	35-year-old	male	American
common_voice_en_31350445.mp3	The trip was also delayed further due to strong winds and inclement weather.	35-year-old	male	American
common_voice_en_31350446.mp3	There are three electrified tracks at the station.	35-year-old	male	American
common_voice_en_31350448.mp3	He had stints as coach with Benfica and Belenenses.	35-year-old	male	American
common_voice_en_34891885.mp3	It is based in Redwood City, California.	25-year-old	female	Hong Kong
common_voice_en_34891886.mp3	The other phase is mostly silica, which is insoluble.	25-year-old	female	Hong Kong
common_voice_en_35122043.mp3	Houle attended Saginaw Valley State University and was a star kicker.	35-year-old	female	American
common_voice_en_35122045.mp3	The genus was first described by Johann Hedwig.	35-year-old	female	American
common_voice_en_37478131.mp3	The love of his life is Lucy Brandon.	25-year-old	male	American
common_voice_en_37478132.mp3	Draw lines across the connected faces, joining adjacent points.	25-year-old	male	American
common_voice_en_37478133.mp3	Her father died when she was but four years old.	25-year-old	male	American
common_voice_en_32269930.mp3	He was the son of Admiral Henrik Bielke.	55-year-old	male	British
common_voice_en_32269931.mp3	Johannes Terho was vice president of the Finnish Chess Federation.	55-year-old	male	British
common_voice_en_32269932.mp3	She was also cast in Wild Guys.	55-year-old	male	British
common_voice_en_22368725.mp3	The name Baidicheng literally means White Emperor City.	25-year-old	male	British
common_voice_en_33974435.mp3	Some of the interior shots took place at the Beykoz Shoe Factory.	35-year-old	male	American
common_voice_en_33974437.mp3	He is voiced by Yoshimasa Hosoya in Japanese and Kaiji Tang in English.	35-year-old	male	American
common_voice_en_19599191.mp3	All of the castaways appeared as other characters within the dream.	25-year-old	male	Canadian
common_voice_en_102385.mp3	In my book of memory	55-year-old	female	American
common_voice_en_568147.mp3	This time I'm sure of it!	25-year-old	male	British
common_voice_en_33606184.mp3	She taught at Xinjiang University prior to her detention.	25-year-old	male	American
common_voice_en_33606185.mp3	The day after the election was also her birthday.	25-year-old	male	American
common_voice_en_33606187.mp3	Kareem Daniel grew up on the South Side of Chicago.	25-year-old	male	American
common_voice_en_36516965.mp3	Alasheyev at the control.	25-year-old	male	American
common_voice_en_36516966.mp3	The old name of Biratnagar was Gograha Bazaar.	25-year-old	male	American
common_voice_en_36516967.mp3	The following day he bet heavily on a horse, and lost.	25-year-old	male	American
common_voice_en_36516968.mp3	My attention was called to this subject by Mr. W. Wyse.	25-year-old	male	American
common_voice_en_19793987.mp3	Furler formed the Newsboys, with friends George Perdikis, Sean Taylor, and John James.	45-year-old	female	American
